job_title,job_type,job_categories,job_location,company_name,company_location,company_field,company_size,experience_needed,career_level,education_level,gender
Cost Accountant,Full Time,Accounting/Finance,"Bourj Alarab, Alexandria",Confidential Company,"Bourj Alarab, Alexandria",Manufacturing,10-49 Employees,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Costing Manager - Pastry Industry FMCG,Full Time,Accounting/Finance,"6th of October, Giza",Confidential Company,"6th of October, Giza",Manufacturing,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Male
Female Junior Accountant,Full Time,Accounting/Finance,"6th of October, Giza",Confidential Company,"6th of October, Giza",Manufacturing,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Collection Supervisor,Full Time,Accounting/Finance,"Maadi, Cairo",Abudawood Group Egypt,"Cairo, Egypt ",FMCG,500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Costing Accountant,Full Time,Accounting/Finance,"Cairo, Egypt", Cairo Three A  Poultry,Egypt ,Agriculture/Fishing/Farming,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Accountant - Real Estate,Full Time,Accounting/Finance,"Cairo, Egypt",Confidential Company,"Cairo, Egypt",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Male
Senior Corporate Finance Analyst,Full Time,Accounting/Finance,"Nasr City, Cairo",Infinity Clinic Pharma,"Cairo, Egypt ",Cosmetics,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Collector,Full Time,Accounting/Finance,"Heliopolis, Cairo",Allamna Integrated Solutions,"Cairo, Egypt ",Publishing and Printing,100-499 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Junior Accountant,Full Time,Accounting/Finance,"Nasr City, Cairo",Solutions for Accounting&Auditing,Egypt ,Accounting and Auditing Services,10-49 Employees,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Business Solutions Specialist,Full Time,Accounting/Finance,"Nasr City, Cairo",Dafater,"Cairo, Egypt ",Information Technology Services,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Costing and Budgeting Manager,Full Time,Accounting/Finance,"Agouza, Giza",Confidential Company,"Agouza, Giza",Manufacturing,10-49 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"Heliopolis, Cairo",Engineering Construction & erection LLC,"Muscat, Oman ",Manufacturing,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
AR accounting,Full Time,Accounting/Finance,"New Cairo, Cairo",Lychee Fruit Bar,"Cairo, Egypt ",Food and Beverage Production,100-499 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Auditor,Full Time,Accounting/Finance,"Maadi, Cairo",Kiromarble for marble and granite,"Cairo, Egypt ",Manufacturing,100-499 Employees,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
محاسب ضرائب,Full Time,Accounting/Finance,"10th of Ramadan City, Sharqia",KIG Konnice,Egypt ,Consumer Electronics,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Finance Operation Specialist,Full Time,Accounting/Finance,"Maadi, Cairo",Multi Level Group (MLG),"Cairo, Egypt ",Information Technology Services,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Male
Personnel and Payroll Specialist,Full Time,Accounting/Finance,"Ain Sokhna, Suez",Midea Egypt,"Suez, Egypt ",Manufacturing,500 Employees or more,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Costing and Stock Analysis Officer,Full Time,Accounting/Finance,"Cairo, Egypt",Confidential Company,"Cairo, Egypt",Manufacturing,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Accountant - El Sheikh Zayed,Full Time,Accounting/Finance,"6th of October, Giza",Property Hills,"Giza, Egypt ",Real Estate/Property Management,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Junior Accountant,Full Time,Accounting/Finance,"10th of Ramadan City, Cairo",Confidential Company,"10th of Ramadan City, Cairo",Manufacturing,10-49 Employees,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Real Estate Accounts Receivable Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",ElEZZ  Construction & Trading,"Cairo, Egypt ","Construction - Residential & Commercial/Office, Real Estate/Property Management",10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Stock Controller,Full Time,Accounting/Finance,"Giza, Giza",Modern Structures & Equipment ,"Giza, Egypt ",Construction - Residential & Commercial/Office,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant - Female - Downtown,Full Time,Accounting/Finance,"Downtown, Cairo",El-Dahan Company,"Cairo, Egypt ","Accounting and Auditing Services, Marketing and Advertising, Import and Export",50-99 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Female
Accountant - Female - Gesr el Suez,Full Time,Accounting/Finance,"Cairo, Egypt",El-Dahan Company,"Cairo, Egypt ","Accounting and Auditing Services, Marketing and Advertising, Import and Export",50-99 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Female
مسئول تدريب,Full Time,Accounting/Finance,"Cairo, Egypt",EL-Mobadara,"Cairo, Egypt ","Banking, Financial Services, Non-Profit Organizations",500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
محاسب فرع تمويل صغير و متوسط,Full Time,Accounting/Finance,"Nasr City, Cairo",EL-Mobadara,"Cairo, Egypt ","Banking, Financial Services, Non-Profit Organizations",500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Cashier,Full Time,Accounting/Finance,"Cairo, Egypt",XPRS,"Cairo, Egypt ",Information Technology Services,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male
Receivable Accountant (Transportation),Full Time,Accounting/Finance,"Haram, Giza",AlGammal Contracting,"Cairo, Egypt ",Construction - Industrial Facilities and Infrastructure,100-499 Employees,Min: 3 Max: 5,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Cost Control & Accounts Payable Accountant,Full Time,Accounting/Finance,"Heliopolis, Cairo",Confidential Company,"Heliopolis, Cairo",Manufacturing,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
أمين مخزن,Full Time,Accounting/Finance,"Cairo, Egypt",Heavy Rock,Egypt ,Manufacturing,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
General Accountant - محاسب عام,Full Time,Accounting/Finance,"Cairo, Egypt",Heavy Rock,Egypt ,Manufacturing,50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accounting and auditing,Full Time,Accounting/Finance,"Nasr City, Cairo",United Group,Egypt ,Accounting and Auditing Services,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Senior Cost Accountant,Full Time,Accounting/Finance,"6th of October, Giza",Confidential Company,"6th of October, Giza",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Male
Accountant - Headquarter,Full Time,Accounting/Finance,"Dokki, Giza",AMICO Group,"Giza, Egypt ",Business Services - Other,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Male
General Accountant,Full Time,Accounting/Finance,"Badr City, Cairo",Outservingplus,"Giza, Egypt ",Outsourcing/Offshoring,50-99 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Cairo, Egypt",Cosmofun ,"Cairo, Egypt ","Computer Games, Entertainment",50-99 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Junior Accountant,Full Time,Accounting/Finance,"Alexandria, Egypt",Arabian Vision,"Alexandria, Egypt ","Business Services - Other, Engineering Services, Management Consulting",10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",Multi Level Group (MLG),"Cairo, Egypt ",Information Technology Services,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Male
Senior Odoo Implementer,Full Time,Accounting/Finance,"Mohandessin, Giza",Peerless,"Giza, Egypt ","Marketing and Advertising, Computer Software, Information Technology Services",10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Male
Senior IT and Operation Internal Auditor,Full Time,Accounting/Finance,"Mohandessin, Giza",Nahdet Misr Publishing Group,"Giza, Egypt ",Publishing and Printing,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
General Accountant,Full Time,Accounting/Finance,"6th of October, Giza",GPC,Egypt ,Import and Export,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",Interact Technology Solutions,"Cairo, Egypt ","Computer and Network Security, Computer Software, Information Technology Services",100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
ERP Implementation Consultant,Full Time,Accounting/Finance,"Cairo, Egypt",Premier Services and Recruitment,"Cairo, Egypt ",Human Resources,50-99 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Downtown, Cairo",Grouhy,"Cairo, Egypt ","Consumer Electronics, Manufacturing",100-499 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accounts Receivable Specialist,Full Time,Engineering - Mechanical/Electrical,"Cairo, Egypt",Elsewedy industries,"Cairo, Egypt ","Manufacturing, Real Estate/Property Management, Retail",500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Branch Accountant,Full Time,Accounting/Finance,"Downtown, Cairo",Sky Medical for Medical Devices,"Giza, Egypt ",Medical Devices and Supplies,50-99 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Financial Manager,Full Time,Accounting/Finance,"10th of Ramadan City, Cairo",Confidential Company,"10th of Ramadan City, Cairo",Manufacturing,10-49 Employees,Min: 10 Max: 15,Manager,Bachelor's Degree,Both
Accounts Receivable Section Head,Full Time,Accounting/Finance,"Nasr City, Cairo",Confidential Company,"Nasr City, Cairo",Manufacturing,10-49 Employees,Min: 7 Max: 10,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Accountant,Full Time,Accounting/Finance,"10th of Ramadan City, Sharqia",Confidential Company,"10th of Ramadan City, Sharqia",Manufacturing,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant Payable,Full Time,Accounting/Finance,"Nasr City, Cairo",dkt Egypt,"Cairo, Egypt ","Consumer Services, Pharmaceuticals",100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior English <> Arabic Translator,Part Time,Accounting/Finance,"Agami, Alexandria",Telus,Egypt ,Marketing and Advertising,50-99 Employees,Min: 0 Max: 1,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Maadi, Cairo",Colortek Egypt / Epdc,"Cairo, Egypt ",Retail,10-49 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Faisal, Giza",Sigma Scan,"Giza, Egypt ",Healthcare and Medical Services,100-499 Employees,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Accountant,Full Time,Accounting/Finance,"Dokki, Giza",Partner & More,"Cairo, Egypt ","Human Resources, Management Consulting, Recruitment and Staffing",1-9 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Senior Accountant,Full Time,Accounting/Finance,"6th of October, Giza",New Concept  ,Egypt ,Real Estate/Property Management,10-49 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
General and treasury accountant,Full Time,Accounting/Finance,"Giza, Egypt",Sigma Scan,"Giza, Egypt ",Healthcare and Medical Services,100-499 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Both
Industrial Cost Accountant -محاسب تكاليف صناعية,Full Time,Accounting/Finance,"6th of October, Giza",Nova Standard,Egypt ,Consumer Electronics,100-499 Employees,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Accounts Receivable Accountant (port said),Full Time,Accounting/Finance,"Port Said, Egypt",Confidential Company,"Port Said, Egypt",Manufacturing,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male
Accounts Receivable Accountant (Faqus),Full Time,Accounting/Finance,"Faqus, Sharqia",Confidential Company,"Faqus, Sharqia",Manufacturing,10-49 Employees,Min: 1 Max: 2,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Male
Medical Claims Accountant,Full Time,Accounting/Finance,"Banha, Qalubia",Elaraby Group,"Cairo, Egypt ",Manufacturing,500 Employees or more,Min: 1 Max: 2,Experienced (Non-Manager),Bachelor's Degree,Both
Budget Accountant,Full Time,Accounting/Finance,"New Cairo, Cairo",Reportage Egypt Real Estate Development,"Cairo, Egypt ",Real Estate/Property Management,500 Employees or more,Min: 3 Max: 5,Experienced (Non-Manager),Bachelor's Degree,Both
Chief Accounts,Full Time,Accounting/Finance,"khanka, Qalubia",Multi M Group ,"Cairo, Egypt ",Furniture,500 Employees or more,Min: 10 Max: 15,Manager,Bachelor's Degree,Both
Treasury Manager,Full Time,Accounting/Finance,"khanka, Qalubia",Multi M Group ,"Cairo, Egypt ",Furniture,500 Employees or more,Min: 7 Max: 10,Manager,Bachelor's Degree,Both
